,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
1307,2000,Sacramento County,5920,5757,1223499.0,470.53573398915734,483.8581805134291,1,0
1308,2001,Sacramento County,5539,5466,1243027.9,439.7326882204334,445.6054445761033,1,0
1309,2002,Sacramento County,5569,5155,1262556.8,408.29846229492404,441.08906625032625,1,0
1310,2003,Sacramento County,5647,4994,1282085.7,389.52154290465916,440.4541755672027,1,0
1311,2004,Sacramento County,5809,6062,1301614.6,465.72925657103104,446.2918593568326,1,0
1312,2005,Sacramento County,5961,6597,1321143.5,499.34015494910284,451.2000399653785,1,0
1313,2006,Sacramento County,5930,6410,1340672.4,478.1182934772134,442.3153635444424,1,0
1314,2007,Sacramento County,5991,5937,1360201.3,436.4795122604279,440.44951287724837,1,0
1315,2008,Sacramento County,5806,5076,1379730.2,367.89801368412463,420.8069084810929,1,0
1316,2009,Sacramento County,5302,4492,1399259.1,321.02703495013895,378.9148128463127,1,0
1385,2000,San Bernardino County,8508,8987,1709434.0,525.7295689684422,497.70859828457844,1,0
1386,2001,San Bernardino County,9151,8724,1742011.6,500.80033910221954,525.312230986292,1,0
1387,2002,San Bernardino County,8639,9054,1774589.2,510.2025866042688,486.8168926081597,1,0
1388,2003,San Bernardino County,8517,9578,1807166.8,530.0008831503545,471.29019855831797,1,0
1389,2004,San Bernardino County,8626,10537,1839744.4,572.7426048966367,468.86947991253567,1,0
1390,2005,San Bernardino County,8400,11723,1872322.0,626.1209343264672,448.640778669481,1,0
1391,2006,San Bernardino County,8717,11088,1904899.6,582.0779215870484,457.6094194150704,1,0
1392,2007,San Bernardino County,9064,10172,1937477.2,525.0126298260438,467.8248600809341,1,0
1393,2008,San Bernardino County,8963,8509,1970054.8,431.916919265393,454.9619634946195,1,0
1394,2009,San Bernardino County,8474,8793,2002632.4,439.0720933107844,423.14305910560523,1,0
1463,2000,San Francisco County,3901,8307,776733.0,1069.4794736415215,502.23178363736315,1,0
1464,2001,San Francisco County,3868,7058,779583.2,905.3555797508208,496.16256481668665,1,0
1465,2002,San Francisco County,3696,8035,782433.4,1026.9244641141343,472.3724728520025,1,0
1466,2003,San Francisco County,3691,6648,785283.6,846.5731361255985,470.0212763898291,1,0
1467,2004,San Francisco County,3494,6330,788133.8,803.1631177345776,443.3257398680275,1,0
1468,2005,San Francisco County,3513,6037,790984.0,763.2265633691705,444.13034903360875,1,0
1469,2006,San Francisco County,3549,5759,793834.2,725.4663505301233,447.0706855411369,1,0
1470,2007,San Francisco County,3491,6505,796684.4,816.5090216401877,438.1910829432583,1,0
1471,2008,San Francisco County,3933,7592,799534.6,949.5524021099275,491.91116932275355,1,0
1472,2009,San Francisco County,3629,6867,802384.8,855.8237892841439,452.2767629695876,1,0
1502,2000,San Joaquin County,3056,2350,563598.0,416.9638643146356,542.2304550406495,1,0
1503,2001,San Joaquin County,3443,2403,575768.8,417.3550216684196,597.9830793193378,1,0
1504,2002,San Joaquin County,3260,2396,587939.6,407.52485459390726,554.4787253656668,1,0
1505,2003,San Joaquin County,3361,2403,600110.4,400.4263215568335,560.0636149615137,1,0
1506,2004,San Joaquin County,3311,2376,612281.2,388.05699080749173,540.7646029308103,1,0
1507,2005,San Joaquin County,3500,2730,624452.0,437.1833223370251,560.491438893622,1,0
1508,2006,San Joaquin County,3409,2923,636622.8,459.141582739418,535.4819211627356,1,0
1509,2007,San Joaquin County,3426,2483,648793.6,382.7103103359836,528.0569968631011,1,0
1510,2008,San Joaquin County,3455,2264,660964.4,342.5297943429328,522.7210421620287,1,0
1511,2009,San Joaquin County,3223,1920,673135.2,285.2324466169649,478.8042580450406,1,0
1697,2000,Santa Cruz County,869,927,255602.0,362.6732185194169,339.98169028411354,1,0
1698,2001,Santa Cruz County,784,828,256280.0,323.0841267363821,305.91540502575305,1,0
1699,2002,Santa Cruz County,834,852,256958.0,331.5716965418473,324.5666606994139,1,0
1700,2003,Santa Cruz County,849,852,257636.0,330.69912589855454,329.5346923566582,1,0
1701,2004,Santa Cruz County,771,1000,258314.0,387.12574618487577,298.4739503085392,1,0
1702,2005,Santa Cruz County,744,1043,258992.0,402.71514178044106,287.2675603879656,1,0
1703,2006,Santa Cruz County,699,984,259670.0,378.9425039473178,269.18781530403976,1,0
