,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
219,2004,Colusa County,76,41,19850.0,206.54911838790932,382.8715365239295,0,0
220,2005,Colusa County,77,58,20111.5,288.39221341023796,382.86552469979864,0,0
221,2006,Colusa County,94,32,20373.0,157.07063270014234,461.39498355666814,0,0
222,2007,Colusa County,93,51,20634.5,247.1588843926434,450.70149506893796,0,0
223,2008,Colusa County,65,52,20896.0,248.85145482388972,311.0643185298622,0,0
224,2009,Colusa County,58,28,21157.5,132.34077750206782,274.1344676828548,0,0
254,2000,Contra Costa County,2770,3830,948816.0,403.6609837945397,291.9428002900457,0,0
255,2001,Contra Costa County,2667,3663,958836.9,382.0253475851837,278.14949549813946,0,0
256,2002,Contra Costa County,2639,3627,968857.8,374.35834236974716,272.3825931937587,0,0
257,2003,Contra Costa County,2482,3244,978878.7,331.3995901637251,253.55542009444073,0,0
258,2004,Contra Costa County,2408,3214,988899.6,325.00771564676535,243.5029804845709,0,0
259,2005,Contra Costa County,2498,3485,998920.5,348.8766123029811,250.06995051157725,0,0
260,2006,Contra Costa County,2885,3324,1008941.4,329.45421805468584,285.9432668735766,0,0
261,2007,Contra Costa County,2770,2795,1018962.3,274.29866639815816,271.84518995452527,0,0
262,2008,Contra Costa County,2763,2831,1028983.2,275.12596901484886,268.5175034927684,0,0
263,2009,Contra Costa County,2976,2895,1039004.1,278.6322017401086,286.42812862817385,0,0
332,2000,El Dorado County,488,386,156299.0,246.96255254352235,312.22208715346864,0,0
333,2001,El Dorado County,469,360,158774.9,226.73608989834037,295.3867393397823,0,0
334,2002,El Dorado County,530,463,161250.8,287.130358423028,328.68053987949213,0,0
335,2003,El Dorado County,614,536,163726.7,327.3748264638571,375.015193001508,0,0
336,2004,El Dorado County,575,510,166202.6,306.8544054064136,345.96330021311337,0,0
337,2005,El Dorado County,545,592,168678.5,350.9635193578316,323.09986157097677,0,0
